Nombre,Edad,Ciudad,Nacionalidad,Fecha_registro,Frontera
Jorge Herrera,4,Medellín@,Ecuador,2022-01-24,Norte de Santander
Andrés Rivera,77,Medellín,Venezuela,2024-03-26,Norte de Santander
Andrés Rivera,76,Barranquilla,Venezuela,2025-04-07,Aeropuerto El Dorado
María Lopez,23,Bucaramanga,Colombia,2022-10-30,Vichada
Jorge Herrera,7,Cali,Ecuador,2020-12-14,Leticia
Juan Pérez,49,Cali,Ecuador,2024-02-20,Vichada
Sofía Torres,28,Medellín,Venezuela,2021-01-31,La Guajira
Sofía Torres,42,Medellín,Perú,2021-11-23,La Guajira
Marta Castillo!,70,Bucaramanga,Perú,2023-09-04,Arauca
Luisa Morales!,19,Medellín,Colombia,2022-09-16,Aeropuerto El Dorado
Andrés Rivera,40,Bogotá,Venezuela,2023-06-16,Norte de Santander
Marta Castillo,33,Bogotá,Perú,2021-03-01,Arauca
Carlos Rodríguez,1,Barranquilla,Ecuador,2023-02-05,Vichada
Juan Pérez,8,Medellín,Colombia,2024-12-10,Aeropuerto El Dorado
Andrés Rivera,66,Bucaramanga,Venezuela,2024-02-03,Arauca
Carlos Rodríguez,56,Medellín,Venezuela,2025-01-25,Leticia
Carlos Rodríguez,54,Cali,Perú,2023-08-25,Leticia
María Lopez,70,Cartagena,Perú,2021-11-07,Arauca
Andrés Rivera,18,Medellín?,Ecuador,2021-10-25,Vichada
Juan Pérez$,73,Bogotá,Perú,2022-01-02,Leticia
Marta Castillo$,30,Cúcuta,Venezuela,2020-12-16,Norte de Santander
Jorge Herrera,4,Bucaramanga,Ecuador,2023-04-13,Aeropuerto El Dorado
Andrés Rivera,54,Barranquilla,Colombia,2020-05-13,Leticia
Jorge Herrera,66,Cartagena,Venezuela,2022-10-08,Norte de Santander
Carlos Rodríguez,69,Barranquilla,Colombia,2025-02-09,Norte de Santander
Pedro Gómez,2,Cúcuta,Ecuador,2020-08-30,Arauca
Sofía Torres%,64,Barranquilla,Colombia,2024-07-09,La Guajira
Jorge Herrera,55,Cali,Venezuela,2024-09-13,Aeropuerto El Dorado
Pedro Gómez,31,Bogotá,Venezuela,2023-05-15,Norte de Santander
Jorge Herrera,22,Cúcuta,Ecuador,2025-12-29,Vichada
Luisa Morales,38,Medellín,Perú,2023-12-19,La Guajira
María Lopez,37,Medellín,Ecuador,2025-03-09,Leticia
Carlos Rodríguez,54,Bogotá,Ecuador,2020-10-01,Norte de Santander
Andrés Rivera,22,Barranquilla,Venezuela,2025-02-25,Leticia
Luisa Morales,44,Medellín,Ecuador,2022-06-08,Aeropuerto El Dorado
Juan Pérez,58,Cali,Ecuador,2021-10-18,Leticia
Sofía Torres,48,Bucaramanga,Colombia,2024-10-08,Vichada
Sofía Torres,78,Medellín,Ecuador,2020-10-31,Norte de Santander
Andrés Rivera,30,Barranquilla,Venezuela,2024-06-12,Arauca
María Lopez,8,Barranquilla?,Perú,2021-03-25,Arauca
Pedro Gómez,71,Bogotá,Venezuela,2024-01-02,Aeropuerto El Dorado
Carlos Rodríguez@,47,Medellín,Perú,2023-03-04,Vichada
María Lopez,16,Medellín,Ecuador,2023-04-05,Leticia
Marta Castillo,31,Barranquilla,Perú,2022-06-06,Arauca
María Lopez@,80,Cartagena,Venezuela,2022-04-07,La Guajira
Carlos Rodríguez,43,Bogotá,Venezuela,2025-10-04,Aeropuerto El Dorado
Jorge Herrera,75,Cúcuta,Colombia,2023-11-02,La Guajira
Carlos Rodríguez#,10,Bucaramanga#,Venezuela,2023-06-07,Aeropuerto El Dorado
Luisa Morales,33,Cúcuta,Perú,2024-08-19,Arauca
Marta Castillo@,44,Bucaramanga,Ecuador,2024-05-02,La Guajira
Sofía Torres,37,Bucaramanga,Colombia,2020-02-05,Leticia
Ana Martínez,58,Barranquilla,Venezuela,2021-10-22,Norte de Santander
Jorge Herrera,55,Cartagena,Venezuela,2024-08-28,Arauca
María Lopez,49,Cartagena,Venezuela,2024-02-24,Norte de Santander
Luisa Morales,29,Cali,Ecuador,2025-06-07,La Guajira
María Lopez,24,Cúcuta,Colombia,2024-08-18,Arauca
Andrés Rivera,43,Cartagena,Colombia,2024-07-11,Aeropuerto El Dorado
Sofía Torres*,31,Cali,Venezuela,2024-07-28,Norte de Santander
Andrés Rivera,72,Barranquilla,Ecuador,2025-10-01,Leticia
Juan Pérez,66,Bogotá,Perú,2023-02-04,Leticia
Luisa Morales,62,Medellín,Ecuador,2020-05-26,Arauca
Carlos Rodríguez,40,Cartagena,Colombia,2022-10-22,La Guajira
Juan Pérez,49,Bucaramanga,Colombia,2021-07-03,Aeropuerto El Dorado
Carlos Rodríguez,42,Cartagena,Venezuela,2020-10-24,La Guajira
Andrés Rivera,28,Cali,Venezuela,2021-08-08,Aeropuerto El Dorado
Juan Pérez$,21,Bucaramanga,Colombia,2025-01-12,La Guajira
Marta Castillo,40,Cartagena,Colombia,2023-09-17,Norte de Santander
Sofía Torres,23,Bucaramanga,Ecuador,2025-12-29,Norte de Santander
Juan Pérez,76,Barranquilla,Venezuela,2022-09-22,La Guajira
Jorge Herrera,5,Medellín,Venezuela,2024-06-02,Norte de Santander
Luisa Morales,7,Bucaramanga,Ecuador,2023-12-16,Leticia
Sofía Torres,80,Medellín,Colombia,2024-10-29,Arauca
Juan Pérez,78,Cali,Ecuador,2022-10-05,Norte de Santander
Ana Martínez,31,Bucaramanga,Perú,2020-06-18,Norte de Santander
Jorge Herrera!,61,Bogotá,Ecuador,2025-10-31,Norte de Santander
Pedro Gómez,18,Barranquilla,Perú,2020-11-08,La Guajira
Andrés Rivera#,11,Bogotá?,Perú,2020-05-29,Arauca
Andrés Rivera,7,Cali,Perú,2022-09-20,La Guajira
María Lopez,50,Bucaramanga*,Ecuador,2024-03-21,Arauca
Sofía Torres,10,Bogotá,Colombia,2024-02-13,Norte de Santander
Andrés Rivera,16,Barranquilla,Perú,2020-01-08,Leticia
Juan Pérez,15,Medellín,Ecuador,2024-02-29,Norte de Santander
Andrés Rivera,35,Medellín,Perú,2024-01-20,Aeropuerto El Dorado
Sofía Torres,29,Bogotá,Colombia,2021-10-15,Aeropuerto El Dorado
Marta Castillo,56,Bucaramanga,Perú,2023-11-28,Aeropuerto El Dorado
Carlos Rodríguez,53,Bogotá,Colombia,2025-05-25,Arauca
Marta Castillo,63,Cali,Perú,2020-07-15,Leticia
Carlos Rodríguez,42,Cúcuta!,Perú,2022-03-08,Aeropuerto El Dorado
Andrés Rivera,47,Cali,Perú,2023-06-09,Aeropuerto El Dorado
María Lopez,69,Barranquilla,Venezuela,2025-11-12,Leticia
Carlos Rodríguez,7,Medellín@,Colombia,2022-10-03,Aeropuerto El Dorado
Ana Martínez,54,Bucaramanga,Ecuador,2022-08-12,Aeropuerto El Dorado
Ana Martínez#,39,Barranquilla,Colombia,2021-06-01,La Guajira
Juan Pérez,64,Barranquilla@,Colombia,2022-09-22,Leticia
Pedro Gómez,16,Cartagena!,Perú,2025-01-24,Arauca
Carlos Rodríguez,54,Cartagena,Ecuador,2024-02-03,Vichada
Jorge Herrera,5,Bogotá#,Colombia,2022-04-06,Arauca
Ana Martínez,64,Bucaramanga,Venezuela,2024-04-11,Vichada
Marta Castillo,60,Barranquilla,Perú,2024-12-03,Arauca
Carlos Rodríguez,17,Bucaramanga*,Colombia,2024-10-31,La Guajira
Juan Pérez,77,Cartagena,Ecuador,2021-06-04,Leticia
Sofía Torres,68,Bucaramanga,Venezuela,2025-09-16,Vichada
Pedro Gómez,15,Bucaramanga,Venezuela,2023-11-28,Arauca
Carlos Rodríguez*,68,Cali,Perú,2021-11-30,La Guajira
Pedro Gómez,21,Bogotá,Venezuela,2025-04-16,Norte de Santander
Jorge Herrera,33,Bogotá*,Perú,2025-05-25,Vichada
Andrés Rivera,73,Cúcuta,Venezuela,2021-04-11,Aeropuerto El Dorado
Juan Pérez,3,Bogotá,Colombia,2025-08-01,Leticia
Carlos Rodríguez,5,Cúcuta,Ecuador,2020-08-19,Leticia
Andrés Rivera,40,Cartagena,Ecuador,2023-07-03,Norte de Santander
Marta Castillo,25,Medellín,Perú,2023-06-17,Leticia
Jorge Herrera#,77,Cartagena,Colombia,2025-07-24,Leticia
Sofía Torres*,69,Bucaramanga,Colombia,2023-11-18,Norte de Santander
Ana Martínez,19,Cali,Colombia,2025-10-26,Norte de Santander
Marta Castillo,55,Bucaramanga!,Colombia,2024-07-15,Leticia
Jorge Herrera?,31,Cúcuta,Ecuador,2023-04-24,Vichada
Juan Pérez#,50,Bucaramanga,Venezuela,2020-01-22,La Guajira
Luisa Morales,20,Cúcuta*,Colombia,2025-03-12,La Guajira
Sofía Torres,6,Barranquilla,Colombia,2024-02-09,Leticia
Ana Martínez?,67,Barranquilla,Ecuador,2022-01-08,La Guajira
Ana Martínez,71,Bucaramanga,Perú,2024-06-25,La Guajira
Ana Martínez,60,Medellín,Ecuador,2023-04-21,Aeropuerto El Dorado
Luisa Morales,71,Bogotá,Perú,2023-07-13,Leticia
Ana Martínez,9,Cali,Venezuela,2022-01-15,Leticia
Andrés Rivera,54,Medellín,Ecuador,2022-05-24,La Guajira
Luisa Morales,23,Bucaramanga,Ecuador,2023-09-28,Norte de Santander
Luisa Morales,62,Medellín,Ecuador,2022-06-14,Arauca
Pedro Gómez,7,Barranquilla,Venezuela,2025-05-31,Aeropuerto El Dorado
Andrés Rivera,34,Barranquilla,Perú,2021-11-25,Aeropuerto El Dorado
Ana Martínez,39,Barranquilla,Perú,2021-03-05,Norte de Santander
Marta Castillo,3,Medellín,Ecuador,2023-09-23,Arauca
Juan Pérez%,13,Cúcuta*,Ecuador,2022-03-18,Aeropuerto El Dorado
Juan Pérez,74,Bogotá,Perú,2025-08-25,Norte de Santander
Ana Martínez,6,Barranquilla,Venezuela,2025-06-09,Vichada
Pedro Gómez,78,Medellín,Ecuador,2022-08-23,Leticia
Marta Castillo,11,Medellín,Venezuela,2025-07-05,Aeropuerto El Dorado
Pedro Gómez,73,Barranquilla,Colombia,2021-05-18,Leticia
Juan Pérez,64,Cúcuta,Ecuador,2024-08-17,Arauca
Pedro Gómez,31,Bogotá#,Ecuador,2021-08-28,La Guajira
Andrés Rivera,31,Bogotá?,Ecuador,2020-02-29,La Guajira
María Lopez,33,Bogotá,Perú,2023-02-04,Arauca
Luisa Morales,4,Bucaramanga,Perú,2024-10-04,La Guajira
Carlos Rodríguez,64,Cali,Ecuador,2021-12-30,Arauca
Carlos Rodríguez,49,Barranquilla,Colombia,2020-04-10,Arauca
Jorge Herrera%,30,Cali,Colombia,2025-08-29,Aeropuerto El Dorado
Pedro Gómez#,42,Cúcuta,Colombia,2025-03-23,Leticia
Luisa Morales,58,Barranquilla,Venezuela,2023-05-12,Arauca
María Lopez,37,Bogotá,Venezuela,2025-09-21,Aeropuerto El Dorado
Juan Pérez!,48,Cúcuta,Venezuela,2025-12-04,La Guajira
Jorge Herrera,1,Bucaramanga,Colombia,2024-06-26,Aeropuerto El Dorado
Jorge Herrera,11,Medellín,Ecuador,2020-01-14,Norte de Santander
Marta Castillo#,15,Barranquilla,Venezuela,2021-12-19,Leticia
Carlos Rodríguez,28,Bogotá,Venezuela,2022-10-30,Arauca
Luisa Morales,63,Cartagena,Perú,2025-03-22,Aeropuerto El Dorado
Carlos Rodríguez,38,Medellín,Colombia,2024-02-05,Norte de Santander
María Lopez,59,Cartagena,Ecuador,2023-05-27,Leticia
Carlos Rodríguez,10,Bogotá*,Venezuela,2020-02-14,Aeropuerto El Dorado
Ana Martínez,37,Barranquilla,Venezuela,2022-10-17,Aeropuerto El Dorado
Luisa Morales,56,Medellín,Venezuela,2022-09-03,Arauca
Carlos Rodríguez$,26,Cali,Colombia,2024-10-02,Vichada
Ana Martínez,11,Medellín!,Ecuador,2020-10-18,Arauca
Luisa Morales,37,Cartagena,Perú,2025-11-08,Vichada
Ana Martínez,24,Medellín,Venezuela,2025-10-19,Arauca
Luisa Morales,55,Bogotá,Perú,2025-03-16,Aeropuerto El Dorado
Luisa Morales,76,Cúcuta,Ecuador,2020-01-15,Leticia
Andrés Rivera,62,Cúcuta,Colombia,2022-03-22,La Guajira
Andrés Rivera,67,Cali,Venezuela,2025-11-15,Arauca
Marta Castillo,18,Cartagena,Venezuela,2024-07-16,Vichada
Ana Martínez@,57,Bucaramanga,Perú,2021-08-28,Vichada
Sofía Torres,48,Cartagena,Colombia,2025-05-06,Vichada
Jorge Herrera,69,Cúcuta,Colombia,2020-07-26,Aeropuerto El Dorado
Andrés Rivera,13,Cúcuta,Venezuela,2023-06-21,Leticia
Sofía Torres,46,Barranquilla,Ecuador,2021-12-25,Norte de Santander
Luisa Morales,18,Cartagena,Colombia,2022-12-06,Vichada
Pedro Gómez,26,Bogotá,Colombia,2024-06-15,Aeropuerto El Dorado
Jorge Herrera,22,Barranquilla,Colombia,2021-07-15,Aeropuerto El Dorado
Andrés Rivera,54,Cúcuta,Venezuela,2024-08-08,Norte de Santander
Andrés Rivera,11,Cali,Venezuela,2020-03-02,La Guajira
María Lopez,44,Cartagena,Venezuela,2025-05-03,La Guajira
Marta Castillo,36,Cúcuta,Ecuador,2021-01-17,La Guajira
Jorge Herrera,22,Cartagena,Colombia,2022-04-17,Arauca
Carlos Rodríguez,26,Medellín,Colombia,2025-09-01,Arauca
María Lopez,54,Cali%,Perú,2022-06-08,Leticia
Jorge Herrera,77,Cali!,Colombia,2025-04-16,Aeropuerto El Dorado
María Lopez,77,Cúcuta,Venezuela,2021-12-04,La Guajira
Ana Martínez,74,Barranquilla,Ecuador,2023-10-07,La Guajira
Carlos Rodríguez%,37,Bogotá,Venezuela,2022-11-28,Arauca
Carlos Rodríguez,69,Bogotá,Ecuador,2022-09-13,Aeropuerto El Dorado
Ana Martínez,6,Cali,Venezuela,2022-01-18,Arauca
Ana Martínez,43,Cúcuta,Ecuador,2022-12-25,Arauca
Juan Pérez,76,Cúcuta,Venezuela,2022-01-22,Vichada
María Lopez,51,Bogotá,Ecuador,2022-04-10,Vichada
Ana Martínez,24,Barranquilla,Colombia,2025-03-12,Arauca
Pedro Gómez,45,Bucaramanga,Perú,2022-12-29,La Guajira
Pedro Gómez,51,Cali,Venezuela,2023-06-02,Norte de Santander
Pedro Gómez,47,Cali,Venezuela,2023-07-15,Norte de Santander
Pedro Gómez,18,Cali*,Ecuador,2022-12-19,Aeropuerto El Dorado
Ana Martínez,13,Bucaramanga,Colombia,2023-11-15,Leticia
Sofía Torres,1,Medellín,Venezuela,2021-06-03,Norte de Santander
Andrés Rivera,49,Cali,Venezuela,2020-12-30,La Guajira
Jorge Herrera,65,Cartagena,Colombia,2022-05-19,Vichada
Carlos Rodríguez,11,Cartagena,Ecuador,2024-10-11,Aeropuerto El Dorado
María Lopez,25,Barranquilla,Perú,2022-09-13,Leticia
Jorge Herrera,62,Medellín,Colombia,2024-09-11,La Guajira
Juan Pérez,30,Barranquilla,Colombia,2023-01-11,Aeropuerto El Dorado
Luisa Morales%,7,Bogotá?,Ecuador,2025-07-06,Leticia
Juan Pérez,75,Medellín,Ecuador,2021-10-02,La Guajira
Sofía Torres,33,Cali$,Venezuela,2021-02-08,La Guajira
Luisa Morales,60,Bogotá,Colombia,2024-08-24,Leticia
Carlos Rodríguez!,43,Cali,Venezuela,2022-03-06,Vichada
Ana Martínez,23,Bucaramanga,Venezuela,2025-09-30,Norte de Santander
María Lopez,67,Bucaramanga,Colombia,2022-06-07,Leticia
Sofía Torres,11,Cali,Venezuela,2024-09-25,Vichada
Sofía Torres,28,Cartagena,Perú,2024-07-28,Norte de Santander
Ana Martínez,15,Bucaramanga,Venezuela,2025-10-13,Vichada
Luisa Morales#,75,Cartagena,Ecuador,2020-07-10,Vichada
Pedro Gómez,64,Bucaramanga,Ecuador,2021-07-13,Leticia
Sofía Torres,77,Cúcuta,Ecuador,2020-03-13,Leticia
Carlos Rodríguez#,22,Cúcuta,Perú,2023-05-28,Arauca
Carlos Rodríguez*,31,Cali,Ecuador,2020-05-31,La Guajira
Jorge Herrera,26,Barranquilla,Colombia,2020-10-18,Vichada
Jorge Herrera,1,Cartagena,Perú,2022-07-16,Leticia
Luisa Morales,19,Cali,Perú,2021-11-11,Norte de Santander
Andrés Rivera%,57,Bucaramanga,Perú,2021-07-12,Leticia
Ana Martínez,7,Barranquilla,Colombia,2022-10-26,Vichada
Sofía Torres,9,Bogotá,Ecuador,2021-10-24,Arauca
Juan Pérez,1,Bogotá,Ecuador,2021-01-10,Norte de Santander
Andrés Rivera,1,Cartagena,Colombia,2022-04-12,Aeropuerto El Dorado
Carlos Rodríguez#,3,Bucaramanga,Perú,2024-11-21,La Guajira
Sofía Torres,31,Barranquilla,Ecuador,2025-06-03,Vichada
Sofía Torres,50,Barranquilla,Venezuela,2023-10-10,Arauca
Luisa Morales,22,Barranquilla,Colombia,2024-09-08,Norte de Santander
Andrés Rivera,59,Medellín,Ecuador,2020-04-22,Aeropuerto El Dorado
Pedro Gómez,43,Medellín,Perú,2020-07-13,Leticia
Sofía Torres,39,Cartagena,Ecuador,2025-06-20,Aeropuerto El Dorado
Juan Pérez,71,Bogotá,Venezuela,2024-11-30,La Guajira
Marta Castillo,69,Cali,Colombia,2025-05-07,Norte de Santander#
Andrés Rivera,1,Cartagena,Colombia,2024-03-14,La Guajira
Juan Pérez,59,Bucaramanga,Venezuela,2023-12-06,Arauca
Marta Castillo,37,Medellín,Ecuador,2023-03-27,Leticia
Pedro Gómez,27,Cali,Venezuela,2022-05-16,Aeropuerto El Dorado
Jorge Herrera,13,Cúcuta,Ecuador,2024-04-20,Aeropuerto El Dorado
Ana Martínez,43,Medellín!,Ecuador,2020-02-17,Arauca
Jorge Herrera,61,Barranquilla,Venezuela,2024-02-04,Vichada
Marta Castillo,1,Cali,Ecuador,2022-03-15,Norte de Santander
Juan Pérez,66,Bogotá,Venezuela,2023-04-11,Aeropuerto El Dorado
Sofía Torres,42,Cúcuta,Colombia,2025-07-19,Norte de Santander
Carlos Rodríguez,58,Bogotá,Perú,2022-11-07,Arauca
Ana Martínez,79,Bogotá,Ecuador,2020-11-07,Vichada
María Lopez,69,Cartagena,Venezuela,2024-05-08,La Guajira
Juan Pérez,59,Bogotá,Ecuador,2025-05-08,Leticia
Juan Pérez,7,Cartagena,Ecuador,2022-04-13,Arauca
Marta Castillo,75,Cali,Venezuela,2023-03-24,Aeropuerto El Dorado
Juan Pérez,61,Cúcuta,Colombia,2024-04-03,Leticia
Carlos Rodríguez,41,Bucaramanga,Perú,2024-03-16,La Guajira
Ana Martínez,70,Cali,Venezuela,2021-03-08,Leticia
Jorge Herrera,5,Barranquilla,Ecuador,2025-10-06,Norte de Santander
Carlos Rodríguez!,76,Cali,Ecuador,2020-04-11,Norte de Santander
Carlos Rodríguez,24,Barranquilla,Venezuela,2022-04-18,Arauca
María Lopez,33,Bucaramanga,Perú,2022-11-11,Norte de Santander
Marta Castillo,62,Cúcuta,Perú,2020-07-15,Aeropuerto El Dorado
Ana Martínez,72,Cúcuta,Colombia,2020-12-10,Arauca
Juan Pérez,38,Bucaramanga,Ecuador,2023-10-29,La Guajira
Andrés Rivera,8,Cali,Venezuela,2022-06-23,Arauca
Marta Castillo,10,Cúcuta,Venezuela,2024-08-25,Vichada
Juan Pérez,24,Barranquilla,Colombia,2023-12-07,Leticia
María Lopez%,60,Cartagena,Venezuela,2023-01-21,Leticia
Ana Martínez,36,Medellín,Venezuela,2025-02-04,Arauca
Sofía Torres#,43,Cartagena,Perú,2020-07-14,Aeropuerto El Dorado
Sofía Torres,9,Bucaramanga,Colombia,2020-03-15,Vichada
Carlos Rodríguez,10,Cartagena,Perú,2025-05-07,La Guajira
María Lopez%,36,Bucaramanga,Colombia,2023-01-24,Leticia
Marta Castillo,73,Cali,Perú,2024-02-29,La Guajira
Marta Castillo@,53,Medellín,Colombia,2025-11-06,Aeropuerto El Dorado
Luisa Morales,28,Bogotá,Venezuela,2022-02-09,Arauca
María Lopez,10,Barranquilla,Perú,2021-08-27,La Guajira
Jorge Herrera,28,Cali,Venezuela,2023-04-04,Vichada
Juan Pérez,49,Cartagena,Perú,2024-02-06,Norte de Santander
Ana Martínez,27,Bogotá,Colombia,2020-07-24,La Guajira
Marta Castillo,65,Barranquilla,Colombia,2022-07-28,La Guajira
Pedro Gómez,19,Cartagena,Perú,2022-08-28,Leticia
Juan Pérez,38,Cúcuta*,Colombia,2023-03-12,Aeropuerto El Dorado
Marta Castillo,41,Bogotá@,Venezuela,2025-10-28,La Guajira
María Lopez,23,Bogotá,Ecuador,2021-03-14,Arauca
Carlos Rodríguez,26,Cartagena,Ecuador,2025-06-05,Norte de Santander
Luisa Morales,67,Cali,Venezuela,2025-06-27,Arauca
Carlos Rodríguez,46,Cali,Venezuela,2020-02-08,Leticia
Ana Martínez,61,Bogotá#,Venezuela,2024-05-05,Norte de Santander
Luisa Morales,65,Bucaramanga,Perú,2021-05-07,Norte de Santander
Marta Castillo,47,Cúcuta,Ecuador,2025-07-30,Leticia
Marta Castillo,61,Cali,Colombia,2025-08-19,Norte de Santander
Sofía Torres,17,Cartagena,Colombia,2021-10-11,Arauca
Jorge Herrera,41,Medellín,Colombia,2022-08-24,Vichada
Ana Martínez,58,Barranquilla,Ecuador,2020-12-04,Arauca
Jorge Herrera$,45,Bucaramanga,Venezuela,2020-06-30,Arauca
Jorge Herrera,39,Cali,Colombia,2023-01-05,Aeropuerto El Dorado?
Carlos Rodríguez,6,Medellín,Colombia,2021-12-01,Vichada
Pedro Gómez,10,Medellín,Venezuela,2024-03-25,Norte de Santander
Jorge Herrera?,74,Bogotá,Ecuador,2020-08-02,Arauca
Andrés Rivera,52,Bucaramanga,Colombia,2024-08-11,Norte de Santander
Juan Pérez,44,Medellín,Colombia,2021-09-11,Vichada
Andrés Rivera,68,Barranquilla,Colombia,2025-08-30,La Guajira
Carlos Rodríguez,80,Bucaramanga$,Colombia,2022-07-28,La Guajira
Jorge Herrera,42,Bogotá$,Venezuela,2025-03-23,Norte de Santander
Sofía Torres,23,Bucaramanga,Venezuela,2023-01-18,La Guajira
Pedro Gómez,2,Bucaramanga,Colombia,2020-12-26,Arauca
Sofía Torres,37,Cali,Ecuador,2022-05-09,Aeropuerto El Dorado
Sofía Torres$,56,Barranquilla,Ecuador,2021-02-03,Leticia
Jorge Herrera@,4,Medellín!,Perú,2023-09-07,Aeropuerto El Dorado
Ana Martínez,54,Cúcuta,Colombia,2021-06-30,Vichada
Juan Pérez,33,Cartagena@,Colombia,2023-05-09,Arauca
Carlos Rodríguez,7,Medellín,Ecuador,2021-12-03,La Guajira
Marta Castillo,61,Barranquilla,Colombia,2020-10-19,Leticia
Pedro Gómez,71,Medellín,Ecuador,2022-01-12,Norte de Santander
María Lopez,44,Bucaramanga,Colombia,2022-01-27,La Guajira
Carlos Rodríguez,31,Bogotá!,Colombia,2022-10-30,Aeropuerto El Dorado
María Lopez,22,Bogotá,Ecuador,2023-10-29,Aeropuerto El Dorado
Sofía Torres,39,Barranquilla,Ecuador,2024-12-02,Norte de Santander
Juan Pérez,33,Cartagena,Venezuela,2024-08-27,Leticia
Pedro Gómez,35,Barranquilla,Perú,2021-12-06,La Guajira
Juan Pérez,28,Bucaramanga,Perú,2022-02-24,Leticia
Carlos Rodríguez,6,Cartagena,Ecuador,2024-10-22,Leticia
Ana Martínez,70,Barranquilla,Perú,2024-05-16,La Guajira
Pedro Gómez,70,Bogotá,Ecuador,2022-11-03,La Guajira
Jorge Herrera,49,Cartagena,Colombia,2023-11-10,Vichada
Pedro Gómez,11,Bucaramanga,Perú,2025-01-25,Arauca
Ana Martínez,22,Medellín,Perú,2022-09-02,Norte de Santander
Andrés Rivera,3,Cali,Colombia,2020-08-20,Norte de Santander
Sofía Torres,22,Bucaramanga,Perú,2024-03-20,La Guajira
María Lopez,35,Medellín,Ecuador,2020-01-11,Aeropuerto El Dorado
María Lopez,78,Barranquilla,Venezuela,2021-08-18,Aeropuerto El Dorado
